Rank,Company,Industry,City,State,Number of Employees,Revenue (millions),Valuation (millions),Profits (millions),Profits (% of Sales),Ticker,CEO
88,Progressive,Insurance: Property and Casualty (Stock),Mayfield Village,Ohio,"55,063","$49,611","$83,743",$722,1.5,PGR,Tricia Griffith
89,American Airlines Group,Airlines,Fort Worth,Texas,"129,700","$48,971","$9,629",$127,0.3,AAL,Robert D. Isom
90,CHS,Food Production,Inver Grove Heights,Minnesota,"10,014","$47,792",,"$1,679",3.5,,Jay D. Debertin
91,Performance Food Group,Wholesalers: Food and Grocery,Richmond,Virginia,"34,825","$47,194","$9,422",$113,0.2,PFGC,George L. Holm
92,PBF Energy,Petroleum Refining,Parsippany,New Jersey,"3,616","$46,830","$5,589","$2,877",6.1,PBF,Thomas J. Nimbley
93,Nike,Apparel,Beaverton,Oregon,"79,100","$46,710","$190,161","$6,046",12.9,NKE,John Donahoe
94,Best Buy,Specialty Retailers: Other,Richfield,Minnesota,"71,100","$46,298","$17,066","$1,419",3.1,BBY,Corie S. Barry
95,Bristol-Myers Squibb,Pharmaceuticals,New York,New York,"34,300","$46,159","$145,780","$6,327",13.7,BMY,Giovanni Caforio
96,United Airlines Holdings,Airlines,Chicago,Illinois,"92,795","$44,955","$14,474",$737,1.6,UAL,Scott Kirby
97,Thermo Fisher Scientific,"Scientific, Photographic and Control Equipment",Waltham,Massachusetts,"130,000","$44,915","$222,150","$6,950",15.5,TMO,Marc N. Casper
98,Qualcomm,Semiconductors and Other Electronic Components,San Diego,California,"51,000","$44,200","$142,252","$12,936",29.3,QCOM,
99,Abbott Laboratories,Medical Products and Equipment,Abbott Park,Illinois,"115,000","$43,653","$175,984","$6,933",15.9,ABT,Robert B. Ford
100,Coca-Cola,Beverages,Atlanta,Georgia,"82,500","$43,004","$268,361","$9,542",22.2,KO,James R. Quincey
101,Oracle,Computer Software,Austin,Texas,"143,000","$42,440","$250,866","$6,717",15.8,ORCL,Safra A. Catz
102,Nucor,Metals,Charlotte,North Carolina,"31,400","$41,513","$38,917","$7,607",18.3,NUE,Leon J. Topalian
103,TIAA,"Insurance: Life, Health (Mutual)",New York,New York,"16,070","$40,911",,$494,1.2,,
104,Massachusetts Mutual Life Insurance,"Insurance: Life, Health (Mutual)",Springfield,Massachusetts,"10,662","$40,281",,"$1,485",3.7,,Roger W. Crandall
105,General Dynamics,Aerospace & Defense,Reston,Virginia,"106,500","$39,407","$62,692","$3,390",8.6,GD,Phebe N. Novakovic
106,Capital One Financial,Commercial Banks,McLean,Virginia,"55,943","$38,373","$36,776","$7,360",19.2,COF,Richard D. Fairbank
107,HF Sinclair,Petroleum Refining,Dallas,Texas,"5,223","$38,205","$9,492","$2,923",7.7,DINO,Tim Go
108,Dollar General,Specialty Retailers: Other,Goodlettsville,Tennessee,"170,000","$37,845","$46,114","$2,416",6.4,DG,Jeffery Owen
109,Arrow Electronics,Wholesalers: Electronics and Office Equipment,Centennial,Colorado,"22,300","$37,124","$7,278","$1,427",3.8,ARW,Sean J. Kerins
110,Occidental Petroleum,"Mining, Crude-Oil Production",Houston,Texas,"11,973","$37,095","$56,069","$13,304",35.9,OXY,Vicki Hollub
111,Northwestern Mutual,"Insurance: Life, Health (Mutual)",Milwaukee,Wisconsin,"8,323","$36,921",,$912,2.5,,John Schlifske
112,Travelers,Insurance: Property and Casualty (Stock),New York,New York,"32,175","$36,884","$39,783","$2,842",7.7,TRV,Alan Schnitzer
113,Northrop Grumman,Aerospace & Defense,Falls Church,Virginia,"95,000","$36,602","$70,203","$4,896",13.4,NOC,Kathy Warden
114,United Services Automobile Assn.,Insurance: Property and Casualty (Stock),San Antonio,Texas,"36,820","$36,297",,"-$1,296",-3.6,,Wayne Peacock
115,Honeywell International,"Electronics, Electrical Equip.",Charlotte,North Carolina,"97,000","$35,466","$127,695","$4,966",14,HON,Vimal Kapur
116,3M,Chemicals,St. Paul,Minnesota,"92,000","$34,229","$57,965","$5,777",16.9,MMM,Michael F. Roman
117,US Foods Holding,Wholesalers: Food and Grocery,Rosemont,Illinois,"29,000","$34,057","$8,568",$265,0.8,USFD,David Flitman
118,Warner Bros. Discovery,Entertainment,New York,New York,"37,500","$33,817","$36,778","-$7,371",-21.8,WBD,David M. Zaslav
119,Lennar,Homebuilders,Miami,Florida,"12,012","$33,671","$29,726","$4,614",13.7,LEN,Jonathan M. Jaffe
120,D.R. Horton,Homebuilders,Arlington,Texas,"13,237","$33,480","$33,546","$5,858",17.5,DHI,David V. Auld
121,Jabil,Semiconductors and Other Electronic Components,St. Petersburg,Florida,"250,000","$33,478","$11,750",$996,3,JBL,Mark T. Mondello
122,Cheniere Energy,Pipelines,Houston,Texas,"1,551","$33,428","$38,408","$1,428",4.3,LNG,Jack A. Fusco
123,Broadcom,Semiconductors and Other Electronic Components,San Jose,California,"20,000","$33,203","$267,473","$11,495",34.6,AVGO,Hock E. Tan
124,CarMax,"Automotive Retailing, Services",Richmond,Virginia,"32,647","$33,197","$10,158","$1,151",3.5,KMX,William D. Nash
125,Starbucks,Food Services,Seattle,Washington,"402,000","$32,250","$119,677","$3,282",10.2,SBUX,Laxman Narasimhan
126,Molina Healthcare,Health Care: Insurance and Managed Care,Long Beach,California,"15,000","$31,974","$15,586",$792,2.5,MOH,Joseph M. Zubretsky
127,Uber Technologies,Internet Services and Retailing,San Francisco,California,"32,800","$31,877","$63,840","-$9,141",-28.7,UBER,Dara Khosrowshahi
128,Philip Morris International,Tobacco,Stamford,Connecticut,"79,800","$31,762","$150,946","$9,048",28.5,PM,Jacek Olczak
129,Netflix,Entertainment,Los Gatos,California,"12,800","$31,616","$153,858","$4,492",14.2,NFLX,Ted Sarandos
130,NRG Energy,Energy,Houston,Texas,"6,603","$31,543","$7,965","$1,221",3.9,NRG,Mauricio Gutierrez
131,Mondelez International,Food Consumer Products,Chicago,Illinois,"91,000","$31,496","$95,050","$2,717",8.6,MDLZ,Dirk Van De Put
132,Danaher,Medical Products and Equipment,Washington,District of Columbia,"80,000","$31,471","$183,764","$7,209",22.9,DHR,Rainer M. Blair
133,Salesforce,Computer Software,San Francisco,California,"79,390","$31,352","$199,780",$208,0.7,CRM,Marc R. Benioff
134,Paramount Global,Entertainment,New York,New York,"27,400","$31,331","$14,657","$1,104",3.5,PARA,Robert M. Bakish
135,CBRE Group,Real Estate,Dallas,Texas,"115,000","$30,828","$22,563","$1,407",4.6,CBRE,
136,Micron Technology,Semiconductors and Other Electronic Components,Boise,Idaho,"48,000","$30,758","$66,036","$8,687",28.2,MU,Sanjay Mehrotra
137,Visa,Financial Data Services,San Francisco,California,"26,500","$29,310","$475,307","$14,957",51,V,Ryan Mcinerney
138,Southern,Utilities: Gas and Electric,Atlanta,Georgia,"27,562","$29,279","$75,948","$3,524",12,SO,Christopher C. Womack
139,United Natural Foods,Wholesalers: Food and Grocery,Providence,Rhose Island,"30,300","$28,928","$1,565",$248,0.9,UNFI,Sandy Douglas
140,Paccar,Motor Vehicles & Parts,Bellevue,Washington,"31,100","$28,820","$38,251","$3,012",10.4,PCAR,Preston Feight
141,Duke Energy,Utilities: Gas and Electric,Charlotte,North Carolina,"27,859","$28,784","$74,344","$2,550",8.9,DUK,Lynn J. Good
142,Eli Lilly,Pharmaceuticals,Indianapolis,Indiana,"39,000","$28,541","$326,351","$6,245",21.9,LLY,David A. Ricks
143,Hewlett Packard Enterprise,"Computers, Office Equipment",Spring,Texas,"60,200","$28,496","$20,643",$868,3,HPE,Antonio F. Neri
144,Dollar Tree,Specialty Retailers: Other,Chesapeake,Virginia,"136,287","$28,332","$31,757","$1,615",5.7,DLTR,Rick Dreiling
145,Lithia Motors,"Automotive Retailing, Services",Medford,Oregon,"21,875","$28,188","$6,337","$1,251",4.4,LAD,Bryan B. Deboer
146,Cummins,Industrial Machinery,Columbus,Indiana,"73,600","$28,074","$33,811","$2,151",7.7,CMI,Jennifer Rumsey
147,Penske Automotive Group,"Automotive Retailing, Services",Bloomfield Hills,Michigan,"26,816","$27,815","$9,795","$1,380",5,PAG,Roger S. Penske
148,PayPal Holdings,Financial Data Services,San Jose,California,"29,900","$27,518","$85,917","$2,419",8.8,PYPL,Daniel H. Schulman
149,U.S. Bancorp,Commercial Banks,Minneapolis,Minnesota,"76,646","$27,401","$55,221","$5,825",21.3,USB,Andrew J. Cecere
150,Gilead Sciences,Pharmaceuticals,Foster City,California,"17,000","$27,281","$103,614","$4,592",16.8,GILD,Daniel P. O'Day
151,AutoNation,"Automotive Retailing, Services",Fort Lauderdale,Florida,"23,600","$26,985","$6,301","$1,377",5.1,AN,Michael Manley
152,Nvidia,Semiconductors and Other Electronic Components,Santa Clara,California,"26,196","$26,974","$686,092","$4,368",16.2,NVDA,Jen-Hsun Huang
153,Kraft Heinz,Food Consumer Products,Chicago,Illinois,"37,000","$26,485","$47,448","$2,363",8.9,KHC,Miguel Patricio
154,Amgen,Pharmaceuticals,Thousand Oaks,California,"25,200","$26,323","$129,089","$6,552",24.9,AMGN,Robert A. Bradway
155,Applied Materials,Semiconductors and Other Electronic Components,Santa Clara,California,"33,000","$25,785","$103,806","$6,525",25.3,AMAT,Gary E. Dickerson
156,EOG Resources,"Mining, Crude-Oil Production",Houston,Texas,"2,850","$25,702","$67,371","$7,759",30.2,EOG,Ezra Yacob
157,Truist Financial,Commercial Banks,Charlotte,North Carolina,"53,987","$25,356","$45,290","$6,260",24.7,TFC,William H. Rogers Jr.
158,Macy's,General Merchandisers,New York,New York,"94,570","$25,305","$4,747","$1,177",4.7,M,Jeffrey Gennette
159,Union Pacific,Railroads,Omaha,Nebraska,"33,179","$24,875","$123,146","$6,998",28.1,UNP,Lance M. Fritz
160,C.H. Robinson Worldwide,Transportation and Logistics,Eden Prairie,Minnesota,"17,399","$24,697","$11,417",$941,3.8,CHRW,Scott Anderson
161,Rite Aid,Food and Drug Stores,Philadelphia,Pennsylvania,"53,000","$24,568",$127,-$539,-2.2,RAD,
162,Constellation Energy,Energy,Baltimore,Maryland,"13,370","$24,440","$25,712",-$160,-0.7,CEG,Joseph Dominguez
163,Avnet,Wholesalers: Electronics and Office Equipment,Phoenix,Arizona,"15,300","$24,311","$4,130",$692,2.8,AVT,Philip R. Gallagher
164,Pioneer Natural Resources,"Mining, Crude-Oil Production",Irving,Texas,"2,076","$24,294","$47,997","$7,845",32.3,PXD,Scott D. Sheffield
165,Southwest Airlines,Airlines,Dallas,Texas,"66,656","$23,814","$19,338",$539,2.3,LUV,Robert E. Jordan
166,CDW,Information Technology Services,Lincolnshire,Illinois,"15,100","$23,749","$26,337","$1,115",4.7,CDW,Christine A. Leahy
167,Advanced Micro Devices,Semiconductors and Other Electronic Components,Santa Clara,California,"25,000","$23,601","$157,738","$1,320",5.6,AMD,Lisa T. Su
168,PNC Financial Services Group,Commercial Banks,Pittsburgh,Pennsylvania,"60,720","$23,542","$50,800","$6,041",25.7,PNC,William S. Demchak
169,McDonald's,Food Services,Chicago,Illinois,"150,000","$23,183","$204,534","$6,177",26.6,MCD,Christopher J. Kempczinski
170,Cleveland-Cliffs,Metals,Cleveland,Ohio,"27,000","$22,989","$9,436","$1,335",5.8,CLF,Lourenco Goncalves
171,Freeport-McMoRan,"Mining, Crude-Oil Production",Phoenix,Arizona,"25,600","$22,780","$58,530","$3,468",15.2,FCX,Richard C. Adkerson
172,Builders FirstSource,"Building Materials, Glass",Dallas,Texas,"29,000","$22,726","$12,253","$2,749",12.1,BLDR,Dave Rush
173,Oneok,Pipelines,Tulsa,Oklahoma,"2,966","$22,387","$28,416","$1,722",7.7,OKE,Pierce Norton
174,Hartford Financial Services Group,Insurance: Property and Casualty (Stock),Hartford,Connecticut,"18,800","$22,362","$21,817","$1,815",8.1,HIG,Christopher J. Swift
175,Charles Schwab,Securities,Westlake,Texas,"35,300","$22,307","$95,264","$7,183",32.2,SCHW,Walter W. Bettinger
176,Steel Dynamics,Metals,Fort Wayne,Indiana,"12,060","$22,261","$19,286","$3,863",17.4,STLD,Mark D. Millett
177,Mastercard,Financial Data Services,Purchase,New York,"29,900","$22,237","$346,418","$9,930",44.7,MA,Michael Miebach
178,Sherwin-Williams,Chemicals,Cleveland,Ohio,"64,366","$22,149","$58,090","$2,020",9.1,SHW,
179,Genuine Parts,Wholesalers: Diversified,Atlanta,Georgia,"58,000","$22,096","$23,559","$1,183",5.4,GPC,Paul Donahue
180,PG&E,Utilities: Gas and Electric,Oakland,California,"26,010","$21,680","$32,154","$1,800",8.3,PCG,
181,WESCO International,Wholesalers: Diversified,Pittsburgh,Pennsylvania,"20,000","$21,420","$7,897",$861,4,WCC,John J. Engel
182,Murphy USA,Specialty Retailers: Other,El Dorado,Arkansas,"10,550","$21,266","$5,621",$673,3.2,MUSA,Andrew Clyde
183,WestRock,"Packaging, Containers",Atlanta,Georgia,"50,500","$21,257","$7,759",$945,4.4,WRK,David Sewell
184,International Paper,"Packaging, Containers",Memphis,Tennessee,"39,000","$21,161","$12,598","$1,504",7.1,IP,Mark S. Sutton
185,Baker Hughes,"Oil and Gas Equipment, Services",Houston,Texas,"55,000","$21,156","$29,386",-$601,-2.8,BKR,Lorenzo Simonelli
186,United States Steel,Metals,Pittsburgh,Pennsylvania,"22,740","$21,065","$5,930","$2,524",12,X,David B. Burritt
187,NextEra Energy,Utilities: Gas and Electric,Juno Beach,Florida,"15,300","$20,956","$153,196","$4,147",19.8,NEE,John W. Ketchum
188,Targa Resources,Pipelines,Houston,Texas,"2,850","$20,930","$16,507","$1,196",5.7,TRGP,Matthew J. Meloy
189,Lear,Motor Vehicles & Parts,Southfield,Michigan,"168,700","$20,892","$8,248",$328,1.6,LEA,Raymond E. Scott
190,Jones Lang LaSalle,Real Estate,Chicago,Illinois,"103,300","$20,862","$6,926",$655,3.1,JLL,Christian Ulbrich
191,Goodyear Tire & Rubber,Motor Vehicles & Parts,Akron,Ohio,"74,000","$20,805","$3,122",$202,1,GT,Richard J. Kramer
192,Marriott International,"Hotels, Casinos, Resorts",Bethesda,Maryland,"140,000","$20,773","$51,287","$2,358",11.4,MAR,Anthony G. Capuano
193,Marsh & McLennan,Diversified Financials,New York,New York,"85,000","$20,720","$82,371","$3,050",14.7,MMC,John Q. Doyle
194,Altria Group,Tobacco,Richmond,Virginia,"6,300","$20,688","$79,672","$5,764",27.9,MO,Billy Gifford
195,Coupang,Internet Services and Retailing,Seattle,Washington,"63,000","$20,583","$28,388",-$92,-0.4,CPNG,Bom Kim
196,Carrier Global,Industrial Machinery,Palm Beach Gardens,Florida,"52,000","$20,421","$38,199","$3,534",17.3,CARR,David Gitlin
197,Halliburton,"Oil and Gas Equipment, Services",Houston,Texas,"45,000","$20,297","$28,605","$1,572",7.7,HAL,Jeffrey A. Miller
198,Delek US Holdings,Petroleum Refining,Brentwood,Tennessee,"3,746","$20,246","$1,538",$257,1.3,DK,Avigal Soreq
199,Kimberly-Clark,Household and Personal Products,Irving,Texas,"44,000","$20,175","$45,293","$1,934",9.6,KMB,Mike Hsu
200,Texas Instruments,Semiconductors and Other Electronic Components,Dallas,Texas,"33,000","$20,028","$168,775","$8,749",43.7,TXN,Haviv Ilan
201,Bank of New York Mellon,Commercial Banks,New York,New York,"51,700","$19,991","$36,736","$2,573",12.9,BK,Robin Vince
202,ManpowerGroup,Temporary Help,Milwaukee,Wisconsin,"30,900","$19,828","$4,191",$374,1.9,MAN,Jonas Prising
203,Whirlpool,"Electronics, Electrical Equip.",Benton Harbor,Michigan,"61,000","$19,724","$7,197","-$1,519",-7.7,WHR,Marc R. Bitzer
204,Waste Management,Waste Management,Houston,Texas,"49,500","$19,698","$66,372","$2,238",11.4,WM,James C. Fish Jr.
205,American Electric Power,Utilities: Gas and Electric,Columbus,Ohio,"16,974","$19,640","$46,806","$2,307",11.7,AEP,Julie Sloat
206,Emerson Electric,Industrial Machinery,St. Louis,Montana,"85,500","$19,629","$49,792","$3,231",16.5,EMR,Lal L. Karsanbhai
207,Aflac,"Insurance: Life, Health (Stock)",Columbus,Georgia,"12,882","$19,502","$39,467","$4,201",21.5,AFL,Daniel P. Amos
208,Cognizant Technology Solutions,Information Technology Services,Teaneck,New Jersey,"355,300","$19,428","$31,031","$2,290",11.8,CTSH,Ravi Kumar S
